t,MTS_F,MTS,Laser,Strain Guage 1,Strain Guage 2,MTS_stress,Comment
0.0,161.957751,0.0,0.0,8.728973e-06,-0.032828,3.4300518820553214,
0.548,318.709602,-9.239831063827985e-06,0.00014497099323266247,1.388642e-05,-0.032828,6.7498496578234315,
1.091,460.479112,0.000569227157765,-0.00012525608729145647,1.753855e-05,-0.032828,9.752341181637938,
1.634,569.561192,0.00020699899794695387,0.0002962981583261844,2.038776e-05,-0.028934,12.062555984525076,
2.178,633.200323,0.0004925499509952585,1.0593619768099073e-05,2.188433e-05,-0.025404,13.41034897196237,
2.724,683.196746,0.0003450608215227449,1.4436051344981181e-05,2.316498e-05,-0.022274,14.46920737020713,
3.27,716.27866,0.001037967804946881,3.591057548356794e-07,2.396042e-05,-0.019489,15.169838742753742,
3.815,746.468765,0.0009366242665548308,3.8172941740550925e-05,2.463797e-05,-0.017023,15.809225408938664,
4.359,758.192187,0.0010073558429007294,0.00013875846367376283,2.497923e-05,-0.014836,16.057512048182183,
4.906,784.284488,0.001516832093120289,5.1172570066061804e-05,2.493331e-05,-0.012907,16.610112622094846,
5.45,795.55063,0.0015010306428952578,0.00013739386180533622,2.558728e-05,-0.011203,16.848714673135937,
5.996,809.869595,0.001279649647031649,0.00016867197305271039,2.526712e-05,-0.009682,17.15197149501743,
6.542,820.048894,0.0009459444439757223,0.00021359610298435068,2.57697e-05,-0.008349,17.36755564259524,
7.086,828.552037,0.0016922549727363288,0.00017359172189409952,2.563443e-05,-0.00716,17.547641013443194,
7.629,838.608965,0.0015865995131814253,0.00019276796920311581,2.604394e-05,-0.006115,17.760633504392853,
8.175,857.756737,0.0016924960118077097,0.0002124828751443218,2.654155e-05,-0.005184,18.1661580994199,
8.723,859.40713,0.0019047710872026598,0.00021718716053283505,2.648447e-05,-0.004369,18.201111249737362,
9.265,878.627358,0.002188072342252805,0.00022063457577935964,2.73556e-05,-0.003644,18.608170367426222,
9.807,881.377475,0.0021389271538412723,6.41721983915727e-05,2.721662e-05,-0.003009,18.66641422382382,
10.347,893.661225,0.0020903711720483323,0.00018669908194617594,2.766087e-05,-0.002456,18.926567872204608,
10.891,900.847275,0.0027262590240675682,9.365478086464089e-05,2.81411e-05,-0.001956,19.078758947808293,
11.437,917.695769,0.002338748543889663,0.00029985330529914696,2.847367e-05,-0.001516,19.4355878627424,
11.982,927.912101,0.0025252324386632248,0.0002133806395314748,2.925793e-05,-0.00113,19.651956320491,
12.527,938.56317,0.002841315007400427,0.00010062143250873374,2.990321e-05,-0.000791,19.87753193538918,
13.071,955.82547,0.002574297280717694,0.00021370383471078864,3.034498e-05,-0.000489,20.243124716457146,
13.615,966.61018,0.0030427165424711305,0.0003264630417335297,3.037104e-05,-0.000219,20.471530671741874,
14.158,974.789686,0.0031267856140918585,0.00021632530672120392,3.098529e-05,1.368902e-05,20.644761837131313,
14.704,981.991838,0.0033199114743836865,0.00019319889610886759,3.162808e-05,0.000223,20.797293931890078,
15.246,1010.215963,0.0035426851404367138,0.00017567453527232507,3.221131e-05,0.000399,21.395043730697882,
15.788,1017.814209,0.003990910684445012,0.00024171408358911986,3.289877e-05,0.000564,21.55596457475566,
16.331,1041.170885,0.003678336573300028,0.00023532200115273857,3.360113e-05,0.000705,22.05062821374603,
16.873,1054.543089,0.0035681281535106996,5.005934222603293e-05,3.435684e-05,0.000833,22.33383388444856,
17.416,1061.126947,0.004105966667778061,0.0002293249350467148,3.501204e-05,0.000944,22.47327132652618,
17.958,1080.147518,0.004426012990131095,0.00031981958526875067,3.551585e-05,0.001033,22.876101971885767,
18.501,1087.517124,0.0038718909474963216,0.0002513022072435004,3.579753e-05,0.001123,23.03218052184233,
19.043,1116.826484,0.004176591115647939,0.00021528390003209115,3.694785e-05,0.001192,23.652914168791014,
19.585,1127.748057,0.004297164215500174,0.0002801383993579409,3.749012e-05,0.001261,23.884218702179197,
20.128,1150.819738,0.004058856920412455,0.0003157257796634708,3.766881e-05,0.001321,24.372846522382936,
20.673,1159.42271,0.004523124953716975,0.0003355843279066366,3.857342e-05,0.00137,24.555046139984874,
21.216,1178.203371,0.004390580246660561,0.00028265213964191824,3.912066e-05,0.001413,24.952795807484843,
21.759,1200.341172,0.0049928297571838086,0.0003240211226004685,3.97684e-05,0.001458,25.421645279126466,
22.302,1221.74636,0.005149103421696917,0.0003374516778318587,4.024615e-05,0.001498,25.874978972215036,
22.851,1228.304456,0.005140908093275105,0.00033820579991705193,4.121404e-05,0.001525,26.01387080905895,
23.395,1248.585766,0.005524213780765988,0.0002293249350467148,4.192631e-05,0.001548,26.443402246156065,
23.94,1272.166252,0.0052623650030550395,0.00041821456209742663,4.284953e-05,0.001575,26.942805886208337,
24.482,1280.682277,0.005346353728318704,0.0004555256500263464,4.337566e-05,0.001589,27.123164080851833,
25.024,1304.882666,0.005556030938168093,0.0003140379826157304,4.43026e-05,0.001607,27.635696450086325,
25.571,1331.887917,0.005858508190440508,0.00035070268018576735,4.47307e-05,0.001625,28.207632102724073,
26.114,1348.473959,0.006182009406147844,0.00033795442588865416,4.54591e-05,0.001642,28.558902629924393,
26.66,1365.74753,0.006043063772644354,0.00033425563661373183,4.595545e-05,0.001648,28.92473411592945,
27.201,1381.010038,0.0063623601956646686,0.0004518986819023402,4.666399e-05,0.001662,29.24797393598773,
27.745,1395.324174,0.006051687614970442,0.00047610240977918357,4.718516e-05,0.001667,29.551128486008594,
28.286,1413.425356,0.006208737960935228,0.00019768771804450495,4.804384e-05,0.001679,29.93448768310269,
28.831,1436.933386,0.0065573608042882965,0.00039699141198583425,4.877844e-05,0.001691,30.432356800493142,
29.372,1458.361116,0.006684495523301735,0.0003653901055591462,4.936661e-05,0.001692,30.886167903455878,
29.915,1470.791389,0.006834636082557916,0.0003956268101174076,5.058266e-05,0.001698,31.14942471601875,
30.459,1504.15508,0.007229297388515617,0.0003001405899030665,5.10393e-05,0.001708,31.856023754349813,
31.0,1512.986692,0.007283986475565485,0.00027715782159269,5.129119e-05,0.001708,32.04306566605296,
31.543,1533.491813,0.007158592594288676,0.0003034084522721095,5.20295e-05,0.001715,32.47733712539067,
32.087,1552.233831,0.007368671535923572,0.0004758869463263077,5.295394e-05,0.001715,32.87426838504007,
32.632,1574.490783,0.007400756514516015,0.00035914166542472476,5.341554e-05,0.001718,33.345641317950296,
33.175,1594.762434,0.00755196835853317,0.0003737213590716657,5.371087e-05,0.001724,33.774968190147476,
33.718,1611.102125,0.007522882977271606,0.00042238018885375016,5.46626e-05,0.001724,34.12102132759041,
34.262,1617.948436,0.007774822370943261,0.00045380194240308416,5.552624e-05,0.00173,34.2660171785805,
34.805,1646.955091,0.0077710996563988095,0.0002609980626244465,5.642089e-05,0.001731,34.88033993226507,
35.348,1651.608393,0.007726962724244934,0.00035960850290612595,5.64879e-05,0.001734,34.978890740635286,
35.892,1671.94767,0.008189061405908549,0.0003346865635194836,5.747313e-05,0.001729,35.40964984245496,
36.435,1699.207324,0.008188472199289957,0.0003355843279066366,5.817172e-05,0.001731,35.98697341560631,
36.979,1718.124848,0.008054159872377764,0.0004402995660206502,5.85539e-05,0.001733,36.387621661209735,
37.525,1734.775296,0.008514464152066643,0.0002148170625508175,5.948081e-05,0.00173,36.74025622267302,
38.065,1744.732396,0.008286601883398895,0.0003024747773095622,5.993248e-05,0.001731,36.95113448804738,
38.613,1770.198356,0.008794524770714908,0.0003118474375110669,6.08234e-05,0.001733,37.490469984416094,
39.156,1797.883087,0.00903540314922885,0.0003394626700590406,6.152572e-05,0.001736,38.07679612863839,
39.701,1814.000579,0.00878753463764924,0.00031023146161424255,6.175527e-05,0.001734,38.41814338387789,
40.247,1837.714708,0.009201077337519915,0.00029346122286289325,6.218212e-05,0.001735,38.92037740667407,
40.791,1851.674614,0.009140201580975204,0.00020318203609373325,6.283232e-05,0.001737,39.21602983178472,
41.335,1877.470653,0.009277754544289467,0.00035081041191220526,6.359046e-05,0.001733,39.762355966688396,
41.878,1894.621854,0.009498465987177419,0.0003016488340734529,6.452853e-05,0.001728,40.12559581724398,
42.425,1908.448119,0.009361930744386215,0.00041135564217989934,6.495786e-05,0.001732,40.41841790196807,
42.968,1933.8062,0.00997679463297034,0.000221963267072392,6.607088e-05,0.001734,40.95546866318395,
43.513,1948.018898,0.00988613716006945,0.0002688624786556923,6.750899e-05,0.001729,41.25647488994974,
44.056,1974.376875,0.009610334898346314,0.00020925092335067312,6.778073e-05,0.001727,41.81470213167046,
44.6,1989.734382,0.010330398950462298,0.00024688520645890674,6.8184e-05,0.001719,42.13995390544341,
45.141,2007.368626,0.010267862702538022,0.0002888646692008179,6.913695e-05,0.001723,42.51342397061382,
