t,MTS_F,MTS,Laser,Strain Guage 1,Strain Guage 2,MTS_stress,Comment
0.0,103.215054,0.0,0.0,1.341333e-05,2.540058e-05,2.085569720004607,
0.543,214.417686,0.000328936242134125,5.833880665007982e-05,1.986654e-05,4.220648e-05,4.33253693162875,
1.089,316.83218,0.0005369871775060214,0.00014431828664650424,2.500447e-05,5.798466e-05,6.401930487107522,
1.633,399.660945,0.0004887268653431167,8.777071916310347e-05,2.955797e-05,6.996471e-05,8.075573599568399,
2.182,469.1481,0.0006587324142366465,-7.378052360332413e-05,3.398363e-05,8.09167e-05,9.479635321003595,
2.728,515.114345,0.0009568154114458287,5.345922409262025e-05,3.792785e-05,8.940838e-05,10.408432090458495,
3.278,570.028133,0.0009178840365154273,6.748030308644784e-05,4.0645e-05,9.762817e-05,11.518023463278515,
3.822,605.903638,0.0007221066470553077,7.859833929290663e-05,4.346758e-05,0.000105,12.242926120577652,
4.368,646.917096,0.0011255701531128692,0.0001294633549373239,4.649858e-05,0.000111,13.07164657173859,
4.912,684.913154,0.0011918629361271657,0.00010256388400440675,4.909533e-05,0.000117,13.839397253188011,
5.456,722.938195,0.0014983367651487992,6.0994781965940404e-05,5.140051e-05,0.000122,14.607733566915403,
6.001,755.928331,0.001522831740004706,0.00010398452196426234,5.35022e-05,0.000129,15.274334280997614,
6.547,791.048681,0.001720615632724047,0.0001596364698642139,5.551332e-05,0.000135,15.983978229989432,
7.091,814.002822,0.0018137747126282964,0.00011124212893224547,5.799092e-05,0.00014,16.447791012748006,
7.64,850.153661,0.0018623477265978234,0.00013499148960650505,5.9507e-05,0.000144,17.17825708576059,
8.182,875.031918,0.002196678074897109,8.270583600245162e-05,6.169302e-05,0.00015,17.6809486745834,
8.724,900.386776,0.0021429715396013966,0.0001388210354111519,6.362346e-05,0.000155,18.193270492482338,
9.276,922.196108,0.0023114917549132857,6.680086754045858e-05,6.534175e-05,0.000159,18.63395119427926,
9.818,951.853257,0.00210226818776637,0.00010438600660491459,6.705134e-05,0.000163,19.233205368346397,
10.367,978.831135,0.0022469448903194205,1.0747434999635343e-05,6.902891e-05,0.000167,19.778322028041973,
10.91,999.014227,0.002489627550780291,7.07848305144689e-05,7.09097e-05,0.000173,20.186142824524502,
11.452,1017.181424,0.00264219997395185,5.491074548630465e-05,7.22322e-05,0.000176,20.553230322832245,
11.994,1048.64354,0.002702785948994364,0.00013613417666124306,7.325447e-05,0.000181,21.188955770952173,
12.536,1058.183613,0.0029825758905133643,0.00017835183081165042,7.506329e-05,0.000185,21.381723071887105,
13.083,1086.361045,0.0030266929037379682,0.00010534339305602144,7.617735e-05,0.000189,21.951077993376455,
13.626,1096.707798,0.0031648289268348478,0.00015636282587002163,7.773804e-05,0.000194,22.160145119933077,
