t,MTS_F,MTS,Laser,Strain Guage 1,Strain Guage 2,MTS_stress,Comment
0.0,351.102377,0.0,0.0,3.176968e-07,2.762662e-05,6.907234113124816,
0.546,447.482071,0.000649635432129186,0.00013520860606728866,8.843827e-06,5.349e-05,8.803311023505094,
1.086,580.20099,0.0002998546350408199,-2.4211853512171667e-05,1.588882e-05,7.577092e-05,11.414289202026083,
1.628,711.269518,0.0005350623317985761,3.1286522765447845e-05,2.207716e-05,9.673927e-05,13.992799252268934,
2.177,823.061464,0.0005219922308398783,0.00013204904504163304,2.759756e-05,0.000117,16.192081266767534,
2.721,933.724702,0.001085711367846241,0.00014389739888799415,3.329417e-05,0.000135,18.369158218264364,
3.268,1029.743728,0.0006309909195812729,0.00020444420419575457,3.784743e-05,0.000152,20.258139710110598,
3.812,1118.713567,0.0012819523039815644,0.00020818759715006264,4.257941e-05,0.000168,22.008442605325754,
4.357,1207.058672,0.001228454188876739,0.00019211504758460653,4.717107e-05,0.000182,23.74645511380727,
4.904,1291.747152,0.0012713988063128726,0.00026361728731835716,5.1826e-05,0.000198,25.41253086938294,
5.447,1371.474795,0.0011356375298939795,0.0001145340871816941,5.580933e-05,0.000212,26.981012120333396,
5.996,1445.54924,0.00171191262310097,0.0003170207372636384,6.046914e-05,0.000224,28.438278054522122,
6.54,1520.71375,0.0015931451839533628,0.0003057562153459297,6.437793e-05,0.000236,29.91698882829826,
7.084,1579.392047,0.001985031730714463,0.00029771994056320165,6.78237e-05,0.000248,31.071366472225375,
7.626,1645.151735,0.0019766430530804686,0.00016175578729419208,7.064385e-05,0.000258,32.36505626180502,
8.174,1699.677485,0.0021019590728325105,0.00022491266475349616,7.411439e-05,0.000269,33.437740883486505,
8.718,1764.165165,0.0027738380308170605,0.00022165007456397505,7.733419e-05,0.000279,34.70640647036824,
9.269,1820.862992,0.00249411622209802,0.00015698210270098512,8.124284e-05,0.000289,35.82182234462321,
9.812,1870.970521,0.002607309249656412,0.0002917099060034869,8.421682e-05,0.000298,36.80758734168897,
10.355,1930.629395,0.0027543275902553836,0.0002477851391352945,8.682463e-05,0.000308,37.9812558686993,
10.903,1982.844597,0.002797272207691325,0.0001392610865133152,8.969183e-05,0.000317,39.008485098987606,
11.444,2036.896968,0.002754408771006668,0.0002324337937168968,9.247214e-05,0.000326,40.07185693957893,
11.988,2082.707037,0.0031059484843731174,0.00031664296366283893,9.504266e-05,0.000336,40.97307804216749,
12.53,2125.530298,0.0031040272065922733,0.0002899927532720701,9.816178e-05,0.000345,41.815539696064086,
13.073,2169.469386,0.003370489492599491,0.00025681736250225895,0.000101,0.000354,42.67995300515767,
13.622,2237.053368,0.003205719627717118,0.0002963462183781658,0.000104,0.000363,44.009532115273494,
14.166,2272.46677,0.003182014848338444,0.00027313031345010854,0.000107,0.00037,44.70621967531301,
14.709,2314.610553,0.003867559232791046,0.00017882428544388457,0.00011,0.000379,45.535313964223874,
15.254,2355.496819,0.0036738348999461132,0.0002145754053108209,0.000112,0.000388,46.339669131758086,
15.796,2405.945702,0.003877923308706613,0.00019592712664823957,0.000115,0.000396,47.33214958319816,
16.339,2456.378483,0.004002995786204994,0.00012861473957892145,0.000118,0.000404,48.324313260127504,
16.884,2490.758177,0.003981022862853847,8.063749226470256e-05,0.000121,0.000412,49.000664691367156,
17.429,2533.592712,0.004369851601316123,0.00022037938154280471,0.000123,0.000418,49.843348138571045,
17.974,2577.964931,0.004288643789768751,0.0001145340871816941,0.000126,0.000426,50.71628243018891,
18.517,2627.747218,0.004255440862488274,0.00015152155701526028,0.000128,0.000434,51.695648944121025,
19.061,2661.412011,0.004623784991373076,0.0002495709779759143,0.00013,0.000441,52.357936133993526,
19.604,2704.811706,0.004602001489775054,0.0002674980524913152,0.000132,0.000449,53.21173796912953,
20.15,2742.284479,0.004642510684672274,0.00011724718849734729,0.000135,0.000456,53.94893951755135,
20.692,2787.936761,0.005062215168877761,0.0003171581094821664,0.000138,0.000462,54.84705647781447,
21.236,2811.805467,0.005139066280105759,0.0003448386115117121,0.00014,0.000471,55.31662533043249,
21.78,2863.120609,0.005101236050001306,0.00010241098889839902,0.000143,0.000476,56.32614768790215,
22.326,2891.125764,0.005034478412184658,9.107778087136534e-05,0.000145,0.000483,56.87709286694703,
22.871,2936.203226,0.005370079638046518,0.0002511851015433436,0.000147,0.000489,57.763901398179186,
23.414,2969.436504,0.005792381906293488,0.0002957280433948509,0.000149,0.000496,58.41769939708182,
23.957,3003.395955,0.005624716594614859,0.00020760376522141021,0.000151,0.000503,59.085783391312916,
24.501,3031.695766,0.005948871334543707,8.1221324193355e-05,0.000153,0.000509,59.6425253353704,
25.046,3071.931541,0.0059654322078083995,-2.1120978595719027e-05,0.000156,0.000515,60.43408339892636,
25.594,3102.836559,0.005977798742255903,0.00013115612562126215,0.000157,0.000522,61.042077558408614,
26.138,3130.78536,0.006062767928613486,-1.864827866258132e-05,0.000158,0.000528,61.59191408568492,
26.68,3166.67698,0.006386164981530219,0.00017961417570026798,0.000161,0.000533,62.29800962442095,
27.226,3201.07922,0.006432600371272155,0.00012624506880964923,0.000163,0.00054,62.97480460292919,
27.769,3216.65571,0.006727935944490648,0.00015876794154160492,0.000165,0.000546,63.28124075984176,
28.312,3264.908372,0.006536647034184437,0.00021471277752922686,0.000166,0.000552,64.23051497399919,
28.857,3281.951699,0.0067146764217788256,0.00015159024312446325,0.000168,0.000556,64.56580820288993,
29.401,3323.287202,0.007287298381177445,0.00013665101436164951,0.00017,0.000563,65.37900120615112,
29.946,3346.936932,0.006850112975192581,0.00011501488994648104,0.000171,0.000567,65.84426214576074,
30.493,3375.838938,0.007212612089984144,0.00012425317164129846,0.000173,0.000573,66.41285106699421,
31.038,3409.719495,0.007486082980853331,0.00010848970956731681,0.000176,0.000578,67.07938298022609,
31.579,3435.939009,0.0073785455456352456,-1.6415980111715072e-05,0.000177,0.000585,67.59519925887906,
32.123,3471.260641,0.007439539350109746,0.00014925491540985353,0.000179,0.00059,68.29008142847952,
32.667,3498.790809,0.007510816049748529,0.0002163269010967782,0.000181,0.000595,68.83168219226376,
