t,MTS_F,MTS,Laser,Strain Guage 1,Strain Guage 2,MTS_stress,Comment
86.018,2489.650401,0.029155346927307303,0.01376931119497078,0.006229,0.012293,52.61856052557979,
86.562,2500.919766,0.029402332867991328,0.014085343216696992,0.00635,0.012543,52.85673764639128,
87.107,2512.382347,0.030292221377955054,0.014415605049877963,0.006474,0.012801,53.09899837178695,
87.65,2522.505293,0.030905936661540002,0.01458778886866012,0.006593,0.013053,53.312946019450344,
88.194,2536.759856,0.03142620947040565,0.014993136983636395,0.006713,0.013303,53.614215059344424,
88.738,2538.374826,0.032403471010281557,0.01545986859900688,0.006836,0.013561,53.64834732010596,
89.302,2555.519589,0.03261951627010454,0.015570110885573151,0.006954,0.013806,54.010700504010764,
89.846,2568.912727,0.03323325852899967,0.0158798805501884,0.007073,0.01406,54.29376339597237,
90.389,2567.176997,0.034280035443399776,0.016319299608060084,0.007194,0.014317,54.25707888234573,
90.935,2585.948001,0.03426786957847534,0.01668326036292223,0.007314,0.014569,54.65380253868848,
91.479,2584.709804,0.035460663847279174,0.01693567675696708,0.007433,0.014818,54.62763334490893,
92.027,2600.162311,0.03571649768972655,0.017315634424053067,0.007551,0.015062,54.9542208346725,
92.57,2604.392147,0.03615481950604114,0.017644687188286847,0.007661,0.015304,55.043618077550406,
93.117,2614.5956,0.03728813321573536,0.01788054863828618,0.007779,0.015559,55.259267234168846,
93.664,2618.862469,0.03743110236008082,0.018338320742740267,0.007896,0.015816,55.34944716651639,
94.208,2623.1551,0.03791913967319306,0.018435697295638178,0.008016,0.016073,55.440171576657164,
94.75,2644.508768,0.03869489564547289,0.01885856140946434,0.008132,0.01632,55.891479628442205,
95.297,2651.878376,0.039495900508150196,0.01931419439193511,0.008241,0.016557,56.047235699431944,
95.842,2657.515473,0.04035824722634472,0.01964836244786848,0.008347,0.016791,56.16637529010055,
96.39,2669.395081,0.04047683069022057,0.019922449077658666,0.008459,0.017039,56.41744984752318,
96.935,2673.979148,0.041348564816383486,0.02032928527749297,0.008579,0.017305,56.51433373403027,
97.477,2676.053008,0.0418987802196308,0.02058105063441231,0.008704,0.017573,56.55816459794905,
98.021,2686.298324,0.042271201352995294,0.020976013157150194,0.008821,0.017821,56.774698525697765,
98.563,2693.41997,0.0427613157649972,0.021274560181794317,0.008922,0.018042,56.9252139398066,
99.108,2701.473887,0.04368654193139355,0.02169478914535108,0.009017,0.018254,57.09543282634677,
99.653,2709.270182,0.04401256553112128,0.021875932475049417,0.009118,0.01848,57.260206892684764,
100.203,2718.969662,0.04477040989739255,0.022240947290019103,0.009235,0.018755,57.46520462057526,
100.749,2712.933249,0.04544514333277153,0.022673545958958364,0.009377,0.019163,57.33762551843694,
101.292,2728.810833,0.045950795523479714,0.022846628829008852,0.009555,0.019506,57.67319697632853,
101.839,2735.982394,0.04639963771079319,0.023364203343695728,0.009654,0.019692,57.824767339938546,
102.389,2736.97585,0.04715054942232929,0.023651961753118993,0.009711,0.019818,57.845763952412526,
102.935,2746.090849,0.04789544563967864,0.023914856744705847,0.009761,0.019932,58.03840872148511,
103.486,2751.328632,0.04876232420999567,0.02432997041656302,0.009815,0.020069,58.14910884295384,
104.03,2763.042396,0.04920474627346884,0.024580960729285662,0.009906,0.020292,58.39667830080574,
104.589,2768.962878,0.04991584242707018,0.024832416068526368,0.010073,0.020698,58.52180721060467,
105.134,2772.603403,0.05058898431914436,0.02523531504384025,0.010309,0.021271,58.598749413004036,
105.695,2785.577906,0.0509234511909817,0.025458000742492364,0.010486,0.021577,58.8729644879883,
106.24,2791.134497,0.051576793205329534,0.02578413934054591,0.010556,0.021714,58.99040259083677,
106.786,2788.904455,0.05238745522907767,0.02604904944704467,0.010602,0.021821,58.943270832938374,
107.329,2795.811952,0.05328114725778717,0.026467914332814816,0.010639,0.021905,59.089260225195524,
107.889,2807.594952,0.05338216979468783,0.026790549731098425,0.010676,0.021998,59.338292980326074,
108.432,2813.57501,0.054155390087803686,0.027063241281333975,0.010734,0.022151,59.464681024082374,
108.974,2819.625914,0.05503459637490684,0.027389968912977212,0.010869,0.022506,59.59256639233753,
109.533,2819.101008,0.05567717524046335,0.0276674347354657,0.011146,0.023221,59.58147254634206,
